Broker ID,Firm name,Customer Income,Customer Insurance Premium,Number of Calls,Call Duration,Misconducts,Firm Ranking,Customer ID,YearsExperience,NumClients,AvgInvestment,Complaints,Misconducts
AF8378AF,Prudential Investment Management Services,64397,3872,4,1,0,203,KP664046KP,10.993428306022466,26,37680.41874253978,2,0
BG2124BG,Ameritas Investment,181800,4072,18,5,1,110,LQ416456LQ,9.723471397657631,64,51452.26777129347,1,0
CH1697CH,Princor Financial Services Corporation,169180,2854,37,20,0,315,MR430814MR,11.295377076201385,98,52359.99756677331,4,1
BG3179BG,Ameritas Investment,116234,1566,25,8,1,110,LQ182279LQ,13.046059712816051,59,52326.76357913794,1,0
BG6251BG,Ameritas Investment,89954,3418,48,43,0,110,LQ115434LQ,9.531693250553328,56,45198.77410203707,4,1
DI2929DI,Farmers Financial Solutions,129459,1935,1,12,0,406,NS819407NS,9.531726086101639,59,72984.68861734834,5,1
CH2013CH,Princor Financial Services Corporation,197851,2934,46,1,1,315,MR540991MR,13.158425631014783,70,37319.784883569315,1,0
CH1226CH,Princor Financial Services Corporation,109163,3708,15,57,1,315,MR437913MR,11.534869458305817,33,36708.54172838484,2,0
CH8321CH,Princor Financial Services Corporation,101934,4502,9,54,0,315,MR870042MR,9.061051228130095,53,66549.78375736585,2,0
BG2828BG,Ameritas Investment,104098,4016,15,20,1,110,LQ428821LQ,11.08512008717193,22,42957.208694101064,4,1
AF8909AF,Prudential Investment Management Services,55486,2332,49,28,1,203,KP183555KP,9.073164614375075,21,40553.0931246357,5,1
CH6588CH,Princor Financial Services Corporation,189407,4208,24,57,1,315,MR752667MR,9.068540492859487,70,73029.11897723112,5,1
BG3023BG,Ameritas Investment,136900,1201,4,43,0,110,LQ841280LQ,10.48392454313207,70,59857.22716823564,3,0
DI5966DI,Farmers Financial Solutions,176020,4507,12,37,0,406,NS863799NS,6.173439510684404,4,44055.35451861778,1,0
AF6891AF,Prudential Investment Management Services,152795,3360,37,47,1,203,KP276806KP,6.5501643349739345,94,52175.07905693561,5,1
DI2080DI,Farmers Financial Solutions,192202,1116,37,37,1,406,NS988097NS,8.875424941518055,75,69458.71284827683,4,1
AF6036AF,Prudential Investment Management Services,137508,4737,43,12,1,203,KP581719KP,7.974337759331153,62,56916.20680950867,4,1
BG3563BG,Ameritas Investment,168324,1936,6,37,0,110,LQ533819LQ,10.628494665190548,62,62861.48455106442,2,0
EJ4292EJ,Wells Fargo Advisors Financial Network,110566,4874,39,49,0,1,OT569924OT,8.183951848957578,94,58048.031787338055,4,1
AF4586AF,Prudential Investment Management Services,77192,1574,46,49,1,203,KP168803KP,7.175392597329417,95,59302.53345953541,2,0
DI5431DI,Farmers Financial Solutions,51062,3291,24,56,1,406,NS532548NS,12.931297537843108,24,50397.416959104274,0,0
BG7841BG,Ameritas Investment,134076,1536,11,44,1,110,LQ978135LQ,9.548447399026928,55,50113.484789762195,3,0
AF7643AF,Prudential Investment Management Services,139780,2625,13,56,1,203,KP907744KP,10.135056409375848,9,52670.50385348454,1,0
EJ4959EJ,Wells Fargo Advisors Financial Network,71689,3122,34,28,1,1,OT848736OT,7.150503627573086,3,57344.528074503,4,1
EJ1161EJ,Wells Fargo Advisors Financial Network,61174,4877,25,47,1,1,OT577742OT,8.911234550949635,31,47166.84684167387,1,0
CH1593CH,Princor Financial Services Corporation,138461,1385,7,15,0,315,MR799539MR,10.221845179419732,40,51220.53934503005,2,0
CH4390CH,Princor Financial Services Corporation,176174,4974,4,6,1,315,MR826802MR,7.698012845155395,36,46896.54384044014,4,1
DI6997DI,Farmers Financial Solutions,153033,4281,8,44,0,406,NS345404NS,10.751396036691343,24,51156.84821994529,1,0
AF7354AF,Prudential Investment Management Services,59348,1474,20,59,1,203,KP742249KP,8.79872262016239,95,37490.03669018153,6,1
AF1663AF,Prudential Investment Management Services,88102,1417,29,20,1,203,KP402523KP,9.416612500413446,6,76059.77466959518,2,0
CH1541CH,Princor Financial Services Corporation,124460,3394,45,50,0,315,MR117297MR,8.796586775541206,66,42670.59881221124,3,0
AF6433AF,Prudential Investment Management Services,152634,4600,46,14,0,203,KP888443KP,13.704556369017876,84,46385.392752405685,4,1
AF6093AF,Prudential Investment Management Services,139930,3687,10,2,0,203,KP609346KP,9.973005550524132,92,41807.356064451975,4,1
EJ1867EJ,Wells Fargo Advisors Financial Network,56801,1938,43,9,0,1,OT220234OT,7.884578142088199,75,56157.087491645405,1,0
CH9623CH,Princor Financial Services Corporation,153150,1954,34,37,1,315,MR668302MR,11.645089824206378,4,48039.97368757669,3,0
BG6469BG,Ameritas Investment,51542,1875,26,20,0,110,LQ867454LQ,7.5583127000579555,79,40361.92489902782,1,0
CH7256CH,Princor Financial Services Corporation,71677,1762,41,26,1,315,MR980765MR,10.417727190009511,6,56568.83366224343,2,0
